Unnamed: 0,is_vulnerable,days_after_creation,past_contributions,ratio_past_contributions,new_author,past_contributions_30_days,ratio_past_contributions_30_days,dmm_unit_size,dmm_unit_complex,dmm_unit_interf,fix,touched_files,past_authors,sum_added_lines,mean_added_lines,med_added_lines,sum_deleted_lines,mean_deleted_lines,med_deleted_lines,sum_hunks,mean_hunks,med_hunks,sum_previous_changes,mean_previous_changes,med_previous_changes,sum_days_since_creation,mean_days_since_creation,med_days_since_creation,nr_of_blacklisted,appname,average_loc,average_ncloc,average_dit,average_nocc,average_cbo,average_wmc,average_ccn,average_hv,author_info.public_repos,author_info.followers,author_info.following,author_info.public_gists,time_difference
20,0,2217,41,0.0015765593,0,6,0.0273972603,1.0,1.0,1.0,1,1.0,4.0,22.0,22.0,22.0,9.0,9.0,9.0,5.0,5.0,5.0,20.0,20.0,20.0,2377.0,2377.0,2377.0,0.0,Concrete,109.0,90.0,0.0,0.0,1.0,15.0,1.153846153846153,37.56204252406785,176.0,62.0,8.0,8.0,3188.0
22,1,1153,190,0.0096879462,0,6,0.0301507538,0.0,0.0,0.0,1,1.0,4.0,18.0,18.0,18.0,2.0,2.0,2.0,1.0,1.0,1.0,19.0,19.0,19.0,1313.0,1313.0,1313.0,0.0,Concrete,96.0,84.0,0.0,0.0,1.0,13.0,1.083333333333333,33.818410791450994,176.0,62.0,8.0,8.0,2124.0
24,1,2085,3946,0.1553849183,0,3,0.0612244898,0.0,1.0,1.0,0,10.0,32.0,124.0,12.4,10.0,51.0,7.2857142857,5.0,16.0,1.6,1.0,721.0,72.1,22.5,25788.0,2578.8,2431.0,0.0,Concrete,80.5,66.25,1.0,0.0,2.5,9.25,1.945833333333333,262.5530744938583,220.0,588.0,30.0,20.0,3092.0
26,0,1509,3116,0.1408361582,0,86,0.3856502242,0.3518518519,1.0,1.0,0,3.0,5.0,105.0,35.0,22.0,0.0,0.0,0.0,4.0,1.3333333333,1.0,17.0,17.0,17.0,1533.0,1533.0,1533.0,0.0,Concrete,42.66666666666666,33.666666666666664,2.0,0.0,1.0,5.0,1.888888888888888,151.2279562535434,220.0,588.0,30.0,20.0,2516.0
28,0,3438,16609,0.5357223495,0,34,0.5573770492,0.1666666667,0.0,1.0,1,6.0,6.0,51.0,8.5,8.0,19.0,3.1666666667,1.5,13.0,2.1666666667,2.0,29.0,4.8333333333,2.5,7933.0,1322.1666666667,1091.0,0.0,Concrete,111.4,93.8,0.4,0.0,5.6,15.4,2.530238095238095,176.81042037249816,6.0,105.0,0.0,2.0,4660.0
30,0,244,653,0.0553202304,0,7,0.0212121212,1.0,1.0,1.0,0,1.0,6.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,25.0,25.0,25.0,2331.0,2331.0,2331.0,0.0,Concrete,59.0,44.0,0.0,0.0,4.0,6.0,1.2,87.9232478528574,220.0,588.0,30.0,20.0,1251.0
34,1,-158,146,0.0450200432,0,45,0.1339285714,0.1111111111,0.2828282828,0.9898989899,0,7.0,13.0,206.0,29.4285714286,5.0,43.0,6.1428571429,5.0,17.0,2.4285714286,2.0,144.0,20.5714285714,19.0,1061.0,212.2,173.0,0.0,OwnCloud,260.5,190.66666666666663,0.166666666666666,0.166666666666666,6.0,36.16666666666666,3.033700980392157,335.611924613789,41.0,29.0,5.0,8.0,376.0
47,0,-77,363,0.0764049674,0,68,0.1011904762,0.0,1.0,1.0,1,1.0,3.0,9.0,9.0,9.0,3.0,3.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,303.0,303.0,303.0,0.0,OwnCloud,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,302.0,173.0,0.0,5.0,167.0
55,0,-96,281,0.0644643267,0,97,0.1407837446,0.0,0.0,1.0,1,1.0,8.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,67.0,67.0,67.0,288.0,288.0,288.0,0.0,OwnCloud,522.0,375.0,0.0,0.0,11.0,91.0,4.210526315789473,529.5073516164257,26.0,22.0,12.0,3.0,516.0
62,1,-335,66,0.0371412493,0,66,0.265060241,1.0,1.0,1.0,0,6.0,21.0,56.0,11.2,2.0,36.0,9.0,1.5,7.0,1.1666666667,1.0,70.0,17.5,11.0,825.0,206.25,117.0,0.0,OwnCloud,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,27.0,10.0,5.0,-337.0
