Unnamed: 0,is_vulnerable,appname,average_loc,average_ncloc,average_dit,average_nocc,average_cbo,average_wmc,average_ccn,average_hv
0,0,Bookstack,192.5,162.25,2.0,0.0,9.0,14.25,1.682692307692307,358.47917848220595
1,1,Bookstack,,,,,,,,
2,1,Bookstack,,,,,,,,
3,1,Bookstack,,,,,,,,
4,0,Bookstack,374.5,342.5,1.0,0.0,3.5,36.0,2.258241758241758,333.38943583645687
5,0,Bookstack,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,0,Bookstack,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,0,Bookstack,88.0,61.0,2.0,0.0,3.0,12.0,4.0,424.488444444833
8,0,Bookstack,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,0,Bookstack,491.0,378.0,0.0,0.0,14.0,78.0,2.433333333333333,236.7928150831002
10,0,Bookstack,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,0,Bookstack,269.0833333333333,234.5,1.5,0.0,6.833333333333333,23.58333333333333,1.465679044924328,165.93348320491995
12,0,Bookstack,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,0,Bookstack,421.5,272.0,1.0,0.0,9.5,46.5,1.818181818181818,179.94441340098336
15,0,UVDesk,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,1,UVDesk,189.5,183.0,2.0,0.0,6.5,24.0,2.8,345.94774705929825
17,0,UVDesk,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,0,UVDesk,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,0,UVDesk,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,0,Concrete,109.0,90.0,0.0,0.0,1.0,15.0,1.153846153846153,37.56204252406785
21,1,Concrete,,,,,,,,
22,1,Concrete,96.0,84.0,0.0,0.0,1.0,13.0,1.083333333333333,33.818410791450994
23,0,Concrete,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,1,Concrete,80.5,66.25,1.0,0.0,2.5,9.25,1.945833333333333,262.5530744938583
25,0,Concrete,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,0,Concrete,42.66666666666666,33.666666666666664,2.0,0.0,1.0,5.0,1.888888888888888,151.2279562535434
27,0,Concrete,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,0,Concrete,111.4,93.8,0.4,0.0,5.6,15.4,2.530238095238095,176.81042037249816
29,0,Concrete,153.33333333333334,132.33333333333334,2.0,0.0,25.33333333333333,6.0,1.222222222222222,464.2463121393212
30,0,Concrete,59.0,44.0,0.0,0.0,4.0,6.0,1.2,87.9232478528574
31,0,Concrete,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,0,Concrete,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,0,Concrete,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,1,OwnCloud,260.5,190.66666666666663,0.166666666666666,0.166666666666666,6.0,36.16666666666666,3.033700980392157,335.611924613789
35,1,OwnCloud,666.9166666666666,477.5,0.6666666666666661,0.5,1.75,189.5,3.530638946399816,570.3013238045686
36,1,OwnCloud,205.0,170.0,1.0,0.0,3.0,29.5,1.896825396825396,157.04522720315236
37,0,OwnCloud,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38,0,OwnCloud,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,1,OwnCloud,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,0,OwnCloud,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
