Unnamed: 0,is_vulnerable,days_after_creation,past_contributions,ratio_past_contributions,new_author,past_contributions_30_days,ratio_past_contributions_30_days,dmm_unit_size,dmm_unit_complex,dmm_unit_interf,fix,touched_files,past_authors,sum_added_lines,mean_added_lines,med_added_lines,sum_deleted_lines,mean_deleted_lines,med_deleted_lines,sum_hunks,mean_hunks,med_hunks,sum_previous_changes,mean_previous_changes,med_previous_changes,sum_days_since_creation,mean_days_since_creation,med_days_since_creation,nr_of_blacklisted,appname
0,0,1890,1681,0.7286519289000001,0,14,0.5185185185,0.0,0.0,0.0,0,5.0,3.0,80.0,16.0,4.0,31.0,10.3333333333,9.0,11.0,2.2,3.0,86.0,17.2,12.0,8274.0,1654.8,1482.0,0.0,Bookstack
1,1,1771,1602,0.7308394161,0,16,0.7272727273,0.0,1.0,0.0,0,23.0,9.0,370.0,21.7647058824,16.0,320.0,22.8571428571,3.0,35.0,1.5217391304,1.0,450.0,26.4705882353,5.0,15526.0,913.2941176471,965.0,1.0,Bookstack
2,1,441,391,0.95599022,0,19,0.95,1.0,1.0,0.0,0,13.0,4.0,318.0,26.5,6.0,318.0,26.5,5.5,40.0,3.0769230769,2.0,248.0,20.6666666667,12.0,3005.0,250.4166666667,223.5,0.0,Bookstack
3,1,-48,1,1.0,0,1,1.0,1.0,1.0,1.0,0,70.0,0.0,2812.0,40.1714285714,30.5,0.0,0.0,0.0,69.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Bookstack
4,0,1885,1,0.0004336513,0,1,0.0217391304,1.0,1.0,1.0,1,2.0,2.0,84.0,42.0,42.0,0.0,0.0,0.0,2.0,1.0,1.0,30.0,15.0,15.0,1761.0,880.5,880.5,0.0,Bookstack
5,0,3097,3575,0.7992398837,0,43,0.7543859649,,,,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,8.0,8.0,8.0,1822.0,1822.0,1822.0,1.0,Bookstack
6,0,1967,1779,0.7366459627,0,55,0.8870967742,,,,0,3.0,6.0,11.0,3.6666666667,1.0,11.0,3.6666666667,1.0,7.0,2.3333333333,1.0,34.0,11.3333333333,14.0,3060.0,1020.0,1020.0,0.0,Bookstack
7,0,187,5,0.0243902439,0,5,0.125,1.0,0.8596491228,0.8333333333,0,5.0,1.0,101.0,20.2,13.0,1.0,1.0,1.0,7.0,1.4,1.0,82.0,20.5,12.5,816.0,204.0,198.0,0.0,Bookstack
8,0,2101,1951,0.7418250951,0,59,0.9076923077,,,,0,,,,,,,,,,,,,,,,,,,Bookstack
9,0,763,630,0.7482185273,0,43,0.7288135593,1.0,1.0,0.5833333333,0,1.0,1.0,19.0,19.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,14.0,14.0,195.0,195.0,195.0,0.0,Bookstack
10,0,2037,1870,0.7382550336,0,54,0.8852459016,,,,0,2.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,35.0,17.5,17.5,2895.0,1447.5,1447.5,0.0,Bookstack
11,0,1802,1621,0.7308385933,0,20,0.7407407407000001,0.0,0.0,0.0,1,15.0,17.0,142.0,9.4666666667,3.0,122.0,9.3846153846,5.0,42.0,2.8,1.0,410.0,27.3333333333,21.0,24631.0,1642.0666666667,1795.0,0.0,Bookstack
12,0,2074,1894,0.7378262563,0,24,0.7058823529,,,,0,,,,,,,,,,,,,,,,,,,Bookstack
13,0,441,387,0.9579207921,0,15,1.0,1.0,1.0,0.0,1,5.0,4.0,32.0,6.4,7.0,25.0,5.0,2.0,17.0,3.4,1.0,153.0,30.6,27.0,1978.0,395.6,398.0,0.0,Bookstack
15,0,1239,301,0.3819796954,0,19,0.7916666667000001,,,,0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,1239.0,1239.0,1239.0,0.0,UVDesk
16,1,1209,283,0.3699346405,0,1,1.0,0.0,0.0,0.0,0,3.0,9.0,71.0,23.6666666667,3.0,69.0,23.0,4.0,5.0,1.6666666667,1.0,82.0,27.3333333333,17.0,3100.0,1033.3333333333,947.0,0.0,UVDesk
17,0,325,6,0.0228136882,0,6,0.24,,,,0,8.0,1.0,32.0,4.0,4.0,5.0,1.0,1.0,8.0,1.0,1.0,31.0,3.875,4.0,14.0,2.0,2.0,0.0,UVDesk
18,0,469,38,0.0875576037,0,27,1.0,,,,0,,,,,,,,,,,,,,,,,,,UVDesk
19,0,621,1,0.002,0,1,0.1111111111,,,,1,1.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,16.0,16.0,16.0,297.0,297.0,297.0,0.0,UVDesk
20,0,2217,41,0.0015765593,0,6,0.0273972603,1.0,1.0,1.0,1,1.0,4.0,22.0,22.0,22.0,9.0,9.0,9.0,5.0,5.0,5.0,20.0,20.0,20.0,2377.0,2377.0,2377.0,0.0,Concrete
21,1,1140,10794,0.5537088335,0,52,0.3661971831,1.0,1.0,1.0,0,17.0,14.0,293.0,18.3125,14.0,93.0,11.625,4.0,26.0,1.5294117647,1.0,190.0,19.0,14.5,7946.0,1324.3333333333,1300.0,0.0,Concrete
22,1,1153,190,0.0096879462,0,6,0.0301507538,0.0,0.0,0.0,1,1.0,4.0,18.0,18.0,18.0,2.0,2.0,2.0,1.0,1.0,1.0,19.0,19.0,19.0,1313.0,1313.0,1313.0,0.0,Concrete
23,0,2234,230,0.0087856679,0,2,0.0068027211,,,,0,1.0,26.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,516.0,516.0,516.0,2094.0,2094.0,2094.0,0.0,Concrete
24,1,2085,3946,0.1553849183,0,3,0.0612244898,0.0,1.0,1.0,0,10.0,32.0,124.0,12.4,10.0,51.0,7.2857142857,5.0,16.0,1.6,1.0,721.0,72.1,22.5,25788.0,2578.8,2431.0,0.0,Concrete
25,0,773,9309,0.5573250314,0,191,0.5805471125,,,,0,1.0,9.0,90.0,90.0,90.0,65.0,65.0,65.0,6.0,6.0,6.0,38.0,38.0,38.0,1922.0,1922.0,1922.0,2.0,Concrete
26,0,1509,3116,0.1408361582,0,86,0.3856502242,0.3518518519,1.0,1.0,0,3.0,5.0,105.0,35.0,22.0,0.0,0.0,0.0,4.0,1.3333333333,1.0,17.0,17.0,17.0,1533.0,1533.0,1533.0,0.0,Concrete
27,0,1862,93,0.0037880331,0,29,0.1228813559,1.0,1.0,1.0,0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,56.0,56.0,56.0,1105.0,1105.0,1105.0,0.0,Concrete
28,0,3438,16609,0.5357223495,0,34,0.5573770492,0.1666666667,0.0,1.0,1,6.0,6.0,51.0,8.5,8.0,19.0,3.1666666667,1.5,13.0,2.1666666667,2.0,29.0,4.8333333333,2.5,7933.0,1322.1666666667,1091.0,0.0,Concrete
29,0,2388,14313,0.5231359649,0,193,0.5594202899,0.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,Concrete
30,0,244,653,0.0553202304,0,7,0.0212121212,1.0,1.0,1.0,0,1.0,6.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,25.0,25.0,25.0,2331.0,2331.0,2331.0,0.0,Concrete
31,0,-398,21,0.003650904,0,10,0.0526315789,1.0,1.0,1.0,0,8.0,12.0,53.0,7.5714285714,1.0,29.0,7.25,1.5,5.0,1.6666666667,1.0,260.0,65.0,17.5,1758.0,439.5,23.0,0.0,Concrete
32,0,82,105,0.0116201859,0,78,0.1714285714,,,,0,1.0,21.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,360.0,360.0,360.0,2169.0,2169.0,2169.0,0.0,Concrete
33,0,1700,12588,0.5328930658000001,0,88,0.3793103448,,,,1,1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,439.0,439.0,439.0,1560.0,1560.0,1560.0,0.0,Concrete
